Player,Club,Nationality,Birthday
Shane Duffy,Brighton,Irish,1900-01-01
Jonny Evans,West Brom,Northern Irish,1900-01-02
James Milner,Liverpool,English,1900-01-04
Toni Kroos,Real Madrid,German,1900-01-04
Andy Carroll,West Ham,English,1900-01-06
Eden Hazard,Chelsea,Belgian,1900-01-07
Jan Oblak,Atletico Madrid,Slovenian,1900-01-07
Stefan Savic,Atletico Madrid,Montenegrin,1900-01-08
Koke,Atletico Madrid,Spanish,1900-01-08
David Silva,Manchester City,Spanish,1900-01-08
Lucas Leiva,Lazio,Brazilian,1900-01-09
Christian Atsu,Newcastle,Ghanaian,1900-01-10
Leroy Sane,Man City,German,1900-01-11
Dani Carvajal,Real Madrid,Spanish,1900-01-11
Axel Witsel,Tianjin Quanjian,Belgian,1900-01-12
Emre Can,Liverpool,German,1900-01-12
Glenn Whelan,Stoke City,Irish,1900-01-13
Yohan Cabaye,Crystal Palace,French,1900-01-14
Nicklas Bendtner,Rosenborg,Danish,1900-01-16
Claudio Marchisio,Juventus,Italian,1900-01-19
Henrik Mkhitaryan,Arsenal,Armenian,1900-01-21
Shane Long,Southampton,Irish,1900-01-22
Arjen Robben,Bayern Munich,Dutch,1900-01-23
Luis Suárez,Barcelona,Uruguayan,1900-01-24
Xavi,Al Sadd SC,Spanish,1900-01-25
David Ginola,Retired,French,1900-01-25
Gianluigi Buffon,Juventus,Italian,1900-01-28
Grzegorz Krychowiak,Polish,West Brom,1900-01-29
Romario,Retired,Brazilian,1900-01-29
Arda Turan,Istanbul Basaksehir,Turkish,1900-01-30
Peter Crouch,Stoke City,English,1900-01-30
Dimitar Berbatov,Kerala Blasters FC,Bulgarian,1900-01-30
Giuseppe Rossi,Genoa,Italian,1900-02-01
Darren Fletcher,Stoke City,Scottish,1900-02-01
Ivan Perisic,Inter,Croatian,1900-02-02
Gerard Pique,Barcelona,Spanish,1900-02-02
Carlos Tevez,Boca Juniors,Argentinian,1900-02-05
Cristiano Ronaldo,Real Madrid,Portuguese,1900-02-05
Neymar,PSG,Brazilian,1900-02-05
Radamel Falcao,Monaco,Colombian,1900-02-10
Edinson Cavani,PSG,Uruguayan,1900-02-14
Ángel Di María,PSG,Argentinian,1900-02-14
Christian Eriksen,Tottenham,Danish,1900-02-14
Rui Patricio,Sporting,Portuguese,1900-02-15
Diego Godín,Atletico Madrid,Uruguayan,1900-02-16
Claude Makélélé,Eupen (coach),French,1900-02-18
Gary Neville,Retired,English,1900-02-18
Mauro Icardi,Inter,Argentinian,1900-02-19
Phil Jones,Man Utd,English,1900-02-21
Riyad Mahrez,Leicester City,Algerian,1900-02-21
Branislav Ivanović,Zenit,Serbian,1900-02-22
Gareth Barry,West Brom,English,1900-02-23
Casemiro,Real Madrid,Brazilian,1900-02-23
Park Ji-Sung,Man Utd (ambassador),South Korean,1900-02-25
Emmanuel Adebayor,Istanbul Basaksehir,Togolese,1900-02-26
Pepe,Real Madrid,Portuguese,1900-02-26
Fernando Llorente,Tottenham,Spanish,1900-02-26
Toby Alderweireld,Tottenham,Belgian,1900-03-02
Zico,Retired,Brazilian,1900-03-03
Landon Donovan,Club León,American,1900-03-04
Clint Dempsey,Seattle Sounders,American,1900-03-09
Jack Butland,Stoke City,English,1900-03-10
Lassana Diarra,PSG,French,1900-03-10
